WC: 14, RC: 52, AC: -78, APC: 0, TC: 38, PopS: 7, subPC: 3, subPL: 3.58, GENC: 6, α: 0.22, β: 0.64, COm: 1, γ: 0.90, δ: 0.48, maxDev: 1.15, speed:2.71, crossed: 1, with: 1.8
WC: 67, RC: 86, AC: 51, APC: 0, TC: -63, PopS: 2, subPC: 3, subPL: 3.33, GENC: 7, α: 0.30, β: 0.52, COm: 1, γ: 0.35, δ: 0.27, maxDev: 4.23, speed:1.46, crossed: 0, with: 0

WC: -26, RC: 6, AC: 52, APC: 0, TC: 55, PopS: 5, subPC: 3, subPL: 3.33, GENC: 7, α: 0.25, β: 0.86, COm: 1, γ: 0.98, δ: 0.35, maxDev: 2.96, speed:1.95, crossed: 1, with: 4.0
WC: 34, RC: 69, AC: 30, APC: 0, TC: 24, PopS: 4, subPC: 3, subPL: 3.05, GENC: 6, α: 0.74, β: 0.29, COm: 1, γ: 0.27, δ: 0.35, maxDev: 1.11, speed:0.80, crossed: 0, with: 0

WC: -51, RC: -58, AC: -4, APC: 0, TC: -40, PopS: 2, subPC: 3, subPL: 0.86, GENC: 3, α: 0.10, β: 0.20, COm: 1, γ: 0.15, δ: 0.32, maxDev: 2.65, speed:2.24, crossed: 1, with: 3.7
WC: 13, RC: 83, AC: -49, APC: 0, TC: -73, PopS: 9, subPC: 4, subPL: 3.12, GENC: 7, α: 0.97, β: 0.34, COm: 1, γ: 0.90, δ: 0.89, maxDev: 1.68, speed:1.37, crossed: 0, with: 0

WC: -22, RC: 19, AC: -43, APC: -50, TC: 5, PopS: 8, subPC: 3, subPL: 2.52, GENC: 9, α: 0.51, β: 0.29, COm: 1, γ: 0.71, δ: 0.44, maxDev: 3.09, speed:2.02, crossed: 1, with: 4.4
WC: -81, RC: 43, AC: 63, APC: 0, TC: 48, PopS: 8, subPC: 2, subPL: 2.11, GENC: 6, α: 0.68, β: 0.85, COm: 1, γ: 0.08, δ: 0.78, maxDev: 3.61, speed:2.12, crossed: 0, with: 0

WC: 77, RC: -44, AC: 67, APC: 0, TC: -63, PopS: 8, subPC: 4, subPL: 1.12, GENC: 6, α: 0.70, β: 0.64, COm: 1, γ: 0.03, δ: 0.17, maxDev: 4.00, speed:1.44, crossed: 1, with: 0.1
WC: -20, RC: 46, AC: 94, APC: 0, TC: 57, PopS: 6, subPC: 4, subPL: 3.67, GENC: 3, α: 0.34, β: 0.16, COm: 1, γ: 0.70, δ: 0.84, maxDev: 4.66, speed:2.41, crossed: 0, with: 0

WC: -20, RC: 79, AC: 98, APC: 0, TC: 84, PopS: 6, subPC: 3, subPL: 1.59, GENC: 9, α: 0.91, β: 0.09, COm: 1, γ: 0.02, δ: 0.45, maxDev: 0.51, speed:2.52, crossed: 1, with: 0.2
WC: -53, RC: 85, AC: -56, APC: 0, TC: -81, PopS: 2, subPC: 3, subPL: 2.56, GENC: 8, α: 0.02, β: 0.04, COm: 1, γ: 0.68, δ: 0.30, maxDev: 3.37, speed:2.41, crossed: 0, with: 0

WC: -53, RC: 85, AC: -56, APC: 0, TC: -81, PopS: 2, subPC: 3, subPL: 2.56, GENC: 8, α: 0.02, β: 0.04, COm: 1, γ: 0.68, δ: 0.30, maxDev: 3.37, speed:2.41, crossed: 1, with: 3.8
WC: -20, RC: 79, AC: 98, APC: 0, TC: 84, PopS: 6, subPC: 3, subPL: 1.59, GENC: 9, α: 0.91, β: 0.09, COm: 1, γ: 0.02, δ: 0.45, maxDev: 0.51, speed:2.52, crossed: 0, with: 0

WC: -3, RC: 53, AC: -18, APC: -89, TC: -74, PopS: 5, subPC: 4, subPL: 3.23, GENC: 7, α: 0.86, β: 0.00, COm: 1, γ: 0.69, δ: 0.54, maxDev: 1.03, speed:2.44, crossed: 1, with: 2.2
WC: -43, RC: 23, AC: -8, APC: -1, TC: 5, PopS: 3, subPC: 4, subPL: 1.54, GENC: 9, α: 0.50, β: 0.57, COm: 1, γ: 0.85, δ: 0.25, maxDev: 3.68, speed:2.47, crossed: 0, with: 0

WC: -43, RC: 23, AC: -8, APC: -1, TC: 5, PopS: 3, subPC: 4, subPL: 1.54, GENC: 9, α: 0.50, β: 0.57, COm: 1, γ: 0.85, δ: 0.25, maxDev: 3.68, speed:2.47, crossed: 0, with: 1.8
WC: -3, RC: 59, AC: 83, APC: -96, TC: -74, PopS: 5, subPC: 4, subPL: 2.50, GENC: 7, α: 0.05, β: 0.00, COm: 1, γ: 0.23, δ: 0.54, maxDev: 1.03, speed:2.44, crossed: 0, with: 0

WC: -28, RC: -102, AC: 33, APC: 0, TC: -53, PopS: 7, subPC: 3, subPL: 3.80, GENC: 3, α: 0.90, β: 0.28, COm: 1, γ: 0.66, δ: 0.27, maxDev: 3.85, speed:1.51, crossed: 1, with: 4.4
WC: -43, RC: 23, AC: -8, APC: -1, TC: 5, PopS: 3, subPC: 4, subPL: 1.54, GENC: 9, α: 0.50, β: 0.57, COm: 1, γ: 0.85, δ: 0.25, maxDev: 3.68, speed:2.47, crossed: 0, with: 0

